SARJAK CONTAINER LINES PRIVATE LIMITED
Container # | Date       | Time         | Remark         | Cnt_status | ErrorCode       
----------- | ---------- | ------------ | -------------- | ---------- | ----------------
BSIU1010720 | 2026-06-08 | 13:00:00.000 | KDPP TERMINALS | 2          | DUPLICATE_RECORD
BHCU4707103 | 2026-06-08 | 13:01:00.000 | KDPP TERMINALS | 2          | DUPLICATE_RECORD
TEXU8995030 | 2026-06-08 | 13:02:00.000 | KDPP TERMINALS | 2          | DUPLICATE_RECORD
TRIU0783070 | 2026-06-08 | 14:05:00.000 | KDPP YARD      | 7          |                 
SJKU2417275 | 2026-06-08 | 15:05:00.000 | KDPP TERMINALS | 2          | DUPLICATE_RECORD
TEXU0015308 | 2026-06-08 | 15:07:00.000 | KDPP TERMINALS | 2          | DUPLICATE_RECORD
TCLU6022704 | 2026-06-08 | 16:30:00.000 | KDPP YARD      | 7          |                 
SJKU4800642 | 2026-06-08 | 19:13:00.000 | KDPP YARD      | 7          |                 
AMFU4231974 | 2026-06-08 | 22:02:00.000 |                | 7          |                 
